,Finish,Country,Team_Name,Team_FIVB_ID,FIVB_ID,BVB_ID,FIVB_Name,TourniStartDate,TourniEndDate,TournLocation,TypeOfEvent,TournID,gender,isBlack_Challenge,isBlack_Elite16
86,2,Czechia,Ondrej Perusic / David Schweiner,137346 / 153790,137346,13393,Ondrej Perusic,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3987,M,True,False
87,2,Czechia,Ondrej Perusic / David Schweiner,137346 / 153790,153790,16538,David Schweiner,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3987,M,True,False
88,3,Netherlands,Ruben Penninga / Leon Luini,144112 / 168204,144112,14713,Ruben Penninga,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3987,M,True,False
89,3,Netherlands,Ruben Penninga / Leon Luini,144112 / 168204,168204,20203,Leon Luini,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3987,M,True,False
90,1,Poland,Bartosz Losiak / Michal Bryl,122846 / 137237,122846,10444,Bartosz Losiak,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4053,M,True,False
91,1,Poland,Bartosz Losiak / Michal Bryl,122846 / 137237,137237,13340,Michal Bryl,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4053,M,True,False
92,2,Italy,Paolo Nicolai / Samuele Cottafava,118194 / 163923,118194,9059,Paolo Nicolai,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4053,M,True,False
93,2,Italy,Paolo Nicolai / Samuele Cottafava,118194 / 163923,163923,17983,Samuele Cottafava,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4053,M,True,False
94,3,Austria,Martin Ermacora / Moritz Pristauz,137297 / 142473,137297,13344,Martin Ermacora,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4053,M,True,False
95,3,Austria,Martin Ermacora / Moritz Pristauz,137297 / 142473,142473,14710,Moritz Pristauz,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4053,M,True,False
96,1,Sweden,David Ahman / Jonatan Hellvig,160555 / 166274,160555,17928,David Ahman,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4055,M,True,False
97,1,Sweden,David Ahman / Jonatan Hellvig,160555 / 166274,166274,18278,Jonatan Hellvig,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4055,M,True,False
98,2,Australia,Christopher Mchugh / Paul Burnett,118115 / 155747,118115,8410,Christopher Mchugh,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4055,M,True,False
99,2,Australia,Christopher Mchugh / Paul Burnett,118115 / 155747,155747,16902,Paul Burnett,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4055,M,True,False
100,3,Germany,Clemens Wickler / Nils Ehlers,139387 / 156567,139387,13767,Clemens Wickler,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4055,M,True,False
101,3,Germany,Clemens Wickler / Nils Ehlers,139387 / 156567,156567,17592,Nils Ehlers,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4055,M,True,False
102,1,Poland,Bartosz Losiak / Michal Bryl,122846 / 137237,122846,10444,Bartosz Losiak,2022-07-14,2022-07-17,"Espinho, Portugal",Challenge,4057,M,True,False
103,1,Poland,Bartosz Losiak / Michal Bryl,122846 / 137237,137237,13340,Michal Bryl,2022-07-14,2022-07-17,"Espinho, Portugal",Challenge,4057,M,True,False
104,2,Austria,Martin Ermacora / Moritz Pristauz,137297 / 142473,137297,13344,Martin Ermacora,2022-07-14,2022-07-17,"Espinho, Portugal",Challenge,4057,M,True,False
105,2,Austria,Martin Ermacora / Moritz Pristauz,137297 / 142473,142473,14710,Moritz Pristauz,2022-07-14,2022-07-17,"Espinho, Portugal",Challenge,4057,M,True,False
106,3,Latvia,Aleksandrs Samoilovs / Janis Smedins,104357 / 104449,104357,6770,Aleksandrs Samoilovs,2022-07-14,2022-07-17,"Espinho, Portugal",Challenge,4057,M,True,False
107,3,Latvia,Aleksandrs Samoilovs / Janis Smedins,104357 / 104449,104449,6874,Janis Smedins,2022-07-14,2022-07-17,"Espinho, Portugal",Challenge,4057,M,True,False
108,1,Netherlands,Matthew Immers / Stefan Boermans,166947 / 168503,166947,18143,Matthew Immers,2022-07-21,2022-07-24,"Agadir, Morocco",Challenge,4059,M,True,False
109,1,Netherlands,Matthew Immers / Stefan Boermans,166947 / 168503,168503,18616,Stefan Boermans,2022-07-21,2022-07-24,"Agadir, Morocco",Challenge,4059,M,True,False
110,2,Norway,Hendrik Nikolai Mol / Mathias Berntsen,137129 / 143189,137129,13275,Hendrik Nikolai Mol,2022-07-21,2022-07-24,"Agadir, Morocco",Challenge,4059,M,True,False
111,2,Norway,Hendrik Nikolai Mol / Mathias Berntsen,137129 / 143189,143189,14738,Mathias Berntsen,2022-07-21,2022-07-24,"Agadir, Morocco",Challenge,4059,M,True,False
112,3,Switzerland,Marco Krattiger / Florian Breer,143639 / 143685,143639,14651,Marco Krattiger,2022-07-21,2022-07-24,"Agadir, Morocco",Challenge,4059,M,True,False
113,3,Switzerland,Marco Krattiger / Florian Breer,143639 / 143685,143685,14784,Florian Breer,2022-07-21,2022-07-24,"Agadir, Morocco",Challenge,4059,M,True,False
114,1,Qatar,Ahmed Tijan / Cherif Younousse,146481 / 146488,146481,15096,Ahmed Tijan,2022-10-13,2022-10-16,"Sun Island, Maldives",Challenge,3995,M,True,False
115,1,Qatar,Ahmed Tijan / Cherif Younousse,146481 / 146488,146488,15097,Cherif Younousse,2022-10-13,2022-10-16,"Sun Island, Maldives",Challenge,3995,M,True,False
116,2,United States,Troy Field / Chase Budinger,166409 / 167494,166409,17820,Troy Field,2022-10-13,2022-10-16,"Sun Island, Maldives",Challenge,3995,M,True,False
117,2,United States,Troy Field / Chase Budinger,166409 / 167494,167494,13452,Chase Budinger,2022-10-13,2022-10-16,"Sun Island, Maldives",Challenge,3995,M,True,False
118,3,Sweden,David Ahman / Jonatan Hellvig,160555 / 166274,160555,17928,David Ahman,2022-10-13,2022-10-16,"Sun Island, Maldives",Challenge,3995,M,True,False
119,3,Sweden,David Ahman / Jonatan Hellvig,160555 / 166274,166274,18278,Jonatan Hellvig,2022-10-13,2022-10-16,"Sun Island, Maldives",Challenge,3995,M,True,False
120,1,United States,Andrew Benesh / Miles Partain,147719 / 162243,147719,18352,Andrew Benesh,2022-10-22,2022-10-25,"Dubai, United Arab Emirates",Challenge,4127,M,True,False
121,1,United States,Andrew Benesh / Miles Partain,147719 / 162243,162243,17561,Miles Partain,2022-10-22,2022-10-25,"Dubai, United Arab Emirates",Challenge,4127,M,True,False
122,2,Ukraine,Sergiy Popov / Eduard Reznik,120578 / 141524,120578,9444,Sergiy Popov,2022-10-22,2022-10-25,"Dubai, United Arab Emirates",Challenge,4127,M,True,False
